"f2","f3","f4","f5","f13","f14","f31","f32","f108","f161","f249","f325","f333","f334"
1.6,60,0.6,100,11,"上证50购26年9月3200",1.4,1.6,1332,3200,20.04,0.0085,"上证50",2941.82
0.6,50,0.2,105,11,"上证50购26年9月3500",0.4,0.6,1866,3500,32.3,0,"上证50",2941.82
0.6,50,0.2,24,11,"上证50购26年9月3400",0.4,0.6,887,3400,27.55,0,"上证50",2941.82
1.2,50,0.4,134,11,"上证50购26年9月3300",1,1.2,729,3300,24.84,0.0005,"上证50",2941.82
0.8,33.33,0.2,29,11,"上证50购26年9月3350",0.6,0.8,167,3350,26.05,0.0001,"上证50",2941.82
20,31.58,4.8,3384,11,"中证1000沽26年9月6900",20,20.2,5386,6900,34.77,-0.0287,"中证1000",7691.37
37.4,27.21,8,4253,11,"中证1000沽26年9月7100",37.2,37.4,4420,7100,33.07,-0.0792,"中证1000",7691.37
28.4,26.79,6,9905,11,"中证1000沽26年9月7000",28.4,28.6,12839,7000,34.24,-0.0491,"中证1000",7691.37
52,26.21,10.8,8700,11,"中证1000沽26年9月7200",52,52.2,6773,7200,32.57,-0.1209,"中证1000",7691.37
96,25.65,19.6,9754,11,"中证1000沽26年9月7400",96,96.2,6951,7400,31.71,-0.2416,"中证1000",7691.37
1,25,0.2,64,11,"上证50购26年9月3250",1,1.2,232,3250,21.42,0.0023,"上证50",2941.82
2,25,0.4,219,11,"上证50购26年9月3150",2,2.2,671,3150,17.6,0.0267,"上证50",2941.82
1142,23.81,219.6,"-",11,"中证1000沽26年11月8400",957.6,987.2,2,8400,49.77,-0.735,"中证1000",7691.37
72.2,23.21,13.6,6249,11,"中证1000沽26年9月7300",72,72.2,4166,7300,32.31,-0.1751,"中证1000",7691.37
128.2,22.8,23.8,13882,11,"中证1000沽26年9月7500",128,129,6805,7500,31.5,-0.3188,"中证1000",7691.37
14.4,22.03,2.6,2727,11,"中证1000沽26年9月6800",14.4,14.6,6513,6800,35.6,-0.0157,"中证1000",7691.37
10.2,21.43,1.8,1705,11,"中证1000沽26年9月6700",10,10.4,4155,6700,36.38,-0.008,"中证1000",7691.37
29.6,21.31,5.2,117,11,"中证1000沽26年10月6400",28,30.2,673,6400,36.07,-0.021,"中证1000",7691.37
166.8,21.22,29.2,16578,11,"中证1000沽26年9月7600",166.8,167,7909,7600,31.21,-0.4035,"中证1000",7691.37
80,21.21,14,336,11,"中证1000沽26年10月6900",76.6,81.2,1204,6900,33.07,-0.11,"中证1000",7691.37
53.4,20.27,9,240,11,"中证1000沽26年10月6700",53.4,53.6,1496,6700,34.06,-0.0615,"中证1000",7691.37
214.8,19.47,35,15244,11,"中证1000沽26年9月7700",214.8,215,4728,7700,31.22,-0.4919,"中证1000",7691.37
96.6,19.26,15.6,936,11,"中证1000沽26年10月7000",94.2,97.8,1994,7000,32.52,-0.1418,"中证1000",7691.37
64,18.96,10.2,201,11,"中证1000沽26年10月6800",62.4,67,1327,6800,33.3,-0.0833,"中证1000",7691.37
116.2,18.81,18.4,259,11,"中证1000沽26年10月7100",117,120.6,730,7100,32,-0.1787,"中证1000",7691.37
7.6,18.75,1.2,1105,11,"中证1000沽26年9月6600",7.6,7.8,2686,6600,37.54,-0.0038,"中证1000",7691.37
42.6,18.33,6.6,298,11,"中证1000沽26年10月6600",42.4,44.4,800,6600,34.42,-0.0442,"中证1000",7691.37
173.2,17.98,26.4,488,11,"中证1000沽26年10月7300",167.4,175.4,1141,7300,31.78,-0.2668,"中证1000",7691.37
208,17.65,31.2,751,11,"中证1000沽26年10月7400",208.6,211,1543,7400,31.67,-0.3167,"中证1000",7691.37
25.4,17.59,3.8,85,11,"中证1000沽26年10月6300",23.6,25.8,952,6300,37.16,-0.0138,"中证1000",7691.37
295.8,16.18,41.2,1090,11,"中证1000沽26年10月7600",286.4,301.4,1014,7600,31.88,-0.4242,"中证1000",7691.37
336.4,16,46.4,1742,11,"中证1000沽26年9月7900",340.2,343.4,1450,7900,31.8,-0.6623,"中证1000",7691.37
5.8,16,0.8,915,11,"中证1000沽26年9月6500",5.8,6,2685,6500,38.86,-0.0016,"中证1000",7691.37
267.2,15.67,36.2,5163,11,"中证1000沽26年9月7800",267.2,273.2,5251,7800,30.78,-0.5795,"中证1000",7691.37
412.2,15.66,55.8,744,11,"中证1000沽26年9月8000",408.8,417.8,4801,8000,32.95,-0.737,"中证1000",7691.37
3,15.38,0.4,30,11,"沪深300购26年10月5300",2.8,3.2,886,5300,19.51,0.0181,"沪深300",4611.44
34.4,14.67,4.4,167,11,"中证1000沽26年10月6500",36,36.6,1390,6500,34.95,-0.0309,"中证1000",7691.37
245.8,14.33,30.8,825,11,"中证1000沽26年10月7500",243.8,251.8,809,7500,31.41,-0.3696,"中证1000",7691.37
92.6,14.32,11.6,561,11,"中证1000沽26年12月6200",92.6,95,2121,6200,36.29,-0.055,"中证1000",7691.37
20.8,14.29,2.6,509,11,"中证1000沽26年10月6200",20.6,20.8,2089,6200,37.87,-0.0087,"中证1000",7691.37
345.8,14.28,43.2,"-",11,"沪深300沽26年11月4800",298.4,313.4,5,4800,28.1,-0.6527,"沪深300",4611.44
