"f2","f3","f4","f5","f13","f14","f31","f32","f108","f161","f249","f325","f333","f334"
76.6,68.72,31.2,2162,11,"沪深300购26年7月4900",74.8,76.8,3915,4900,13.29,0.5041,"沪深300",4891.71
12.8,68.42,5.2,549,11,"中证1000购26年7月9700",12.6,13.2,636,9700,25.22,0.0241,"中证1000",8521.23
2,66.67,0.8,1169,11,"中证1000购26年6月9400",2,2.2,2318,9400,30.17,0.001,"中证1000",8521.23
386,65.95,153.4,3090,11,"中证1000购26年7月8200",386,387,2781,8200,17.24,0.7422,"中证1000",8521.23
26.2,65.82,10.4,1805,11,"沪深300购26年7月5100",25.4,26.2,3133,5100,15.87,0.1929,"沪深300",4891.71
152,62.05,58.2,904,11,"沪深300购26年7月4750",150,154,1059,4750,7.72,0.7557,"沪深300",4891.71
677,61.5,257.8,776,11,"中证1000购26年6月7800",676.8,677.8,1278,7800,0,0.9977,"中证1000",8521.23
1.6,60,0.6,583,11,"中证1000购26年6月9700",1.4,1.6,2222,9700,37.22,0,"中证1000",8521.23
68,59.62,25.4,122,11,"中证1000购26年8月9500",63.6,69.6,159,9500,23.38,0.133,"中证1000",8521.23
446.2,59.24,166,1069,11,"中证1000购26年7月8100",446,453.2,1136,8100,13.44,0.8001,"中证1000",8521.23
92.4,58.76,34.2,90,11,"中证1000购26年8月9300",88.6,94,246,9300,22.69,0.1892,"中证1000",8521.23
58.6,58.38,21.6,232,11,"中证1000购26年8月9600",56.2,60,165,9600,23.75,0.11,"中证1000",8521.23
278.4,58.18,102.4,1348,11,"沪深300购26年6月4600",278,279,1792,4600,0,0.9971,"沪深300",4891.71
187.2,58.11,68.8,1025,11,"沪深300购26年7月4700",187,188.2,1114,4700,0,0.8225,"沪深300",4891.71
195.6,55.24,69.6,391,11,"中证1000购26年8月8800",194,200.6,338,8800,20.66,0.39,"中证1000",8521.23
122,55.22,43.4,72,11,"中证1000购26年8月9100",123,127.6,308,9100,21.67,0.2597,"中证1000",8521.23
15.8,54.9,5.6,1097,11,"沪深300购26年7月5200",15.4,15.8,1957,5200,17.18,0.0979,"沪深300",4891.71
106.8,54.78,37.8,166,11,"中证1000购26年8月9200",108.6,109.4,310,9200,22.25,0.2227,"中证1000",8521.23
49.4,54.38,17.4,378,11,"中证1000购26年8月9700",47.8,49.8,505,9700,23.95,0.0902,"中证1000",8521.23
29.6,54.17,10.4,1161,11,"上证50购26年7月3000",29,30,1627,3000,15.08,0.3176,"上证50",2938.65
144.8,54.04,50.8,336,11,"中证1000购26年8月9000",143.6,148.6,563,9000,21.48,0.3002,"中证1000",8521.23
520.6,53.39,181.2,902,11,"中证1000购26年7月8000",519,525.2,797,8000,0,0.8499,"中证1000",8521.23
76.6,53.2,26.6,119,11,"中证1000购26年8月9400",75.6,76.6,160,9400,22.76,0.1593,"中证1000",8521.23
12.2,52.5,4.2,640,11,"上证50购26年7月3100",11.8,12.8,859,3100,16.96,0.0961,"上证50",2938.65
775.2,51.64,264,367,11,"中证1000购26年6月7700",766.8,771,408,7700,0,0.9994,"中证1000",8521.23
41.8,51.45,14.2,215,11,"沪深300购26年8月5200",41.4,41.8,467,5200,16.6,0.1933,"沪深300",4891.71
304.2,51.19,103,271,11,"中证1000购26年8月8500",304.6,311.6,608,8500,19.36,0.5392,"中证1000",8521.23
72.4,50.83,24.4,405,11,"沪深300购26年9月5200",72.4,73.2,3813,5200,17.69,0.2404,"沪深300",4891.71
164,50.74,55.2,77,11,"中证1000购26年8月8900",167,172.8,346,8900,20.75,0.3437,"中证1000",8521.23
226.4,50.73,76.2,236,11,"中证1000购26年8月8700",224.6,232.2,500,8700,20.2,0.4385,"中证1000",8521.23
84,50.54,28.2,462,11,"沪深300购26年8月5000",82.4,84.8,446,5000,14.87,0.3949,"沪深300",4891.71
262.8,50.52,88.2,207,11,"中证1000购26年8月8600",260,268.2,382,8600,19.79,0.4885,"中证1000",8521.23
1.8,50,0.6,584,11,"中证1000购26年6月9500",1.8,2,1918,9500,32.47,0.0003,"中证1000",8521.23
0.6,50,0.2,233,11,"上证50购26年6月3250",0.4,0.6,262,3250,30.26,0,"上证50",2938.65
0.6,50,0.2,418,11,"上证50购26年6月3200",0.4,0.6,1163,3200,26.21,0,"上证50",2938.65
0.6,50,0.2,625,11,"上证50购26年6月3150",0.6,0.8,1148,3150,22,0.0002,"上证50",2938.65
595.2,49.85,198,368,11,"中证1000购26年7月7900",584.4,600,273,7900,0,0.8911,"中证1000",8521.23
223.4,49.73,74.2,144,11,"沪深300购26年7月4650",221.4,229.4,430,4650,0,0.8769,"沪深300",4891.71
44.4,48.99,14.6,3427,11,"上证50购26年7月2950",44.4,44.6,8235,2950,13.69,0.4804,"上证50",2938.65
9.8,48.48,3.2,523,11,"沪深300购26年7月5300",9.8,10,932,5300,18.45,0.0435,"沪深300",4891.71
266,47.61,85.8,521,11,"沪深300购26年7月4600",264.6,266,478,4600,0,0.9187,"沪深300",4891.71
